Asset,Created,Supply,Holders,Payments,Price (24h)
yXLM-GARDNV3Q7YGT4AKSDF25LT32YSCCW4EV22Y2TV3I2PU2MMXJTEDL5T55,2021-03-16,"66,397,703","15,309","896,197",0.34 (0.34%)USD
DRA-GCJKSAQECBGSLPQWAU7ME4LVQVZ6IDCNUA5NVTPPCUWZWBN5UBFMXZ53,2018-03-14,"29,776,167,530","147,693","100,478,693",0.000053 (26%)USD
USD-GDUKMGUGDZQK6YHYA5Z6AY2G4XDSZPSZ3SW5UN3ARVMO6QSRDWP5YLEX,2018-08-04,"1,929,786","45,439","95,114",0.88 (2.6%)USD
USDC-GA5ZSEJYB37JRC5AVCIA5MOP4RHTM335X2KGX3IHOJAPP5RE34K4KZVN,2021-01-19,"163,920,589","62,610","314,057",1.01 (0.45%)USD
SLT-GCKA6K5PCQ6PNF5RQBF7PQDJWRHO6UOGFMRLK3DYHDOI244V47XKQ4GP,2017-11-02,"7,182,700","21,871","503,632",5.8 (1.3%)USD
BRAVE-GDREF4TAC3RFYVLHEV24CXN2VBGCEEP74BZOC3T4Q4XJ6SXJFMDPNTJL,2021-05-20,"9,889,476,896","24,923","1,259,743",0.0051 (5.6%)USD
FIDR-GBZQNUAGO4DZFWOHJ3PVXZKZ2LTSOVAMCTVM46OEMWNWTED4DFS3NAYH,2018-10-03,"5,000,000","5,566","244,697",0.22 (8.8%)USD
XXA-GC4HS4CQCZULIOTGLLPGRAAMSBDLFRR6Y7HCUQG66LNQDISXKIXXADIM,2019-06-16,"533,109,175","8,192","1,393,835",0.18 (3.5%)USD
ZAR-GDYG7OEXT7GO2WOYJKRFMYK6PXQTPFRKO4JSNRRZWE4JM2V6QWQR2QZD,2020-03-14,"4,700,129","4,795","461,670",0.052 (1.1%)USD
yUSDC-GDGTVWSM4MGS4T7Z6W4RPWOCHE2I6RDFCIFZGS3DOA63LWQTRNZNTTFF,2021-03-16,"5,080,000","3,452","154,029",1.01 (0.085%)USD
AQUA-GBNZILSTVQZ4R7IKQDGHYGY2QXL5QOFJYQMXPKWRRM5PAV7Y4M67AQUA,2021-05-06,"99,998,984,930","66,715","2,371,350",0.0073 (6.2%)USD
